ID,Number,Type,Titles
10016,1,question,"['Qubit', 'Quantum computing']"
10016,1,answer,"['Many-worlds interpretation', 'Schrödinger equation', 'Quantum mechanics', 'Microtubule', 'Measurement problem']"
10016,2,question,"['Shadows of the Mind', '""The Emperor\'s New Mind""', 'Fashion', 'Faith']"
10016,2,answer,"['""The Emperors New Clothes""', 'Allegory of the cave', 'Fashion', 'Faith', 'and Fantasy in the New Physics of the Universe', 'The Road to Reality']"
10016,4,question,"['Beauty', 'Music']"
10016,4,answer,"['Computer music', 'Judgement', 'Aesthetics']"
10016,5,question,"['Utility', 'Philosophy of science']"
10016,5,answer,"['Theoretical physics', 'Paul Dirac', 'Mathematical beauty']"
10016,6,question,"['General relativity', 'Cyclic model']"
10016,6,answer,"['Riemannian geometry', 'Leaning Tower of Pisa', 'Isaac Newton', 'Bernhard Riemann', 'Galileo Galilei']"
10020,1,question,"['Biopolymer', 'Building material']"
10020,1,answer,"['Polyethylene', 'Lignin', 'Polypropylene', 'Polyvinyl chloride', 'Polylactic acid', 'Polyethylene terephthalate', 'Aromatic compound']"
10020,2,question,"['Carbon dioxide', 'Methane']"
10020,2,answer,"['Electric car', 'Energy density', 'Renewable energy', 'Boeing 787 Dreamliner']"
10020,3,question,"['Homogeneous catalysis', 'Heterogeneous catalysis']"
10020,3,answer,"['Polymer', 'Enzyme', 'Catalysis']"
10020,5,question,"['Seawater', 'Carbonic acid', 'Carbon dioxide']"
10020,5,answer,"['Ocean acidification', 'Wastewater treatment', 'Catalysis', 'Cholera', 'PH', 'Legislation', 'Vacuum cleaner', 'Economics', 'Sea level rise', 'Microplastics']"
10020,6,question,"['Carbon dioxide', 'Polymer', 'Catalysis']"
10020,6,answer,"['Biopolymer', 'Photosynthesis', 'Wright brothers', 'Circular economy']"
10020,7,question,['Platinum']
10020,7,answer,"['Fuel cell', 'Noble metal', 'Catalysis', 'Iron']"
10020,8,question,"['Imaging', 'Catalysis']"
10020,8,answer,"['Diamond Light Source', 'Operando spectroscopy', 'Microscopy', 'Spatial resolution', 'Temporal resolution']"
10020,9,question,"['Oil', 'Plastic']"
10020,9,answer,"['Paris Agreement', 'Climate change', 'Coal', 'Natural gas', 'Pyrolysis', 'Pyrolysis oil']"
10020,10,question,"['Platinum', 'Catalysis']"
10020,10,answer,"['Oxide', 'Recycling', 'Catalytic converter']"
10025,1,question,"['Data and information visualization', 'Statistician']"
10025,1,answer,"['Ethics', 'Humanism', 'Bias']"
10025,2,question,"['Data and information visualization', 'Communication']"
10025,2,answer,"['List of accidents and disasters by death toll', 'War']"
10025,3,question,"['Data and information visualization', 'Fake news']"
10025,3,answer,"['The Economist', 'Data literacy', 'Visual literacy']"
10025,4,question,"['Moiré pattern', 'Color blindness']"
10025,4,answer,"['Data and information visualization', 'Screen reader', 'Assistive Technology']"
10025,5,question,"['Data and information visualization', 'Visual impairment']"
10025,5,answer,"['Soundscape', 'Change data capture']"
10025,6,question,"['Data and information visualization', 'Target audience']"
10025,6,answer,['Bar chart']
10025,7,question,"['Data and information visualization', 'Nature']"
10025,7,answer,"['Visual rhetoric', 'Poppy', 'Semiotics', 'Taraxacum']"
10025,10,question,['Visualization']
10025,10,answer,"['List of extreme temperatures in Spain', 'Tableau', 'RAWGraphs', 'Adobe Illustrator']"
10025,11,question,['Machine learning']
10025,11,answer,"['Big data', 'Artificial intelligence', 'Ethics of artificial intelligence', 'Algorithmic bias']"
10025,12,question,['Data and information visualization']
10025,12,answer,"['Factfulness', 'The Washington Post', 'Mona Chalabi', 'Fernanda Viégas', 'The New York Times', 'Financial Times', 'Isotype', 'Hans Rosling', 'William Gordon Burn Murdoch', 'Many eyes']"
10067,1,question,['Metric space']
10067,1,answer,"['Spacetime', 'Black hole', 'Deterministic system', 'Wormhole', 'Quantum nonlocality', '""Bell\'s theorem""']"
10067,2,question,['Hypothesis']
10067,2,answer,"['Qubit', '""Bell\'s theorem""', 'Quantum computing']"
10067,3,question,"['Stephen Wolfram', 'A New Kind of Science', '""Bell\'s theorem""']"
10067,3,answer,"['Attractor', 'Fractal', 'Invariant (mathematics)', 'Lorentz transformation', 'Cellular automaton']"
10067,4,question,"['Quantum mechanics', 'Physics']"
10067,4,answer,"['Albert Einstein', 'Pendulum', 'Probability', 'Quantum mechanics', 'Schrödinger equation']"
10067,5,question,"['Google DeepMind', 'Neural network', 'Tropical cyclone', 'Weather forecasting']"
10067,5,answer,"['Lorenz system', 'European Centre for Medium-Range Weather Forecasts', 'Attractor']"
10069,1,question,"['FIFA World Cup', 'Gambling']"
10069,1,answer,"['Bookmaker', 'FIFA World Cup', 'Cognitive bias', 'Odds']"
10069,3,question,"['Washington', 'Yelm']"
10069,3,answer,['Gambling']
10069,4,question,"['Black–Scholes model', 'Gambling']"
10069,4,answer,['Diffusion of innovations']
10069,5,question,['Patent']
10069,5,answer,"['Stanford University', 'Patent', 'Eigenvalues and eigenvectors', 'Principal component analysis', 'Facebook']"
10069,6,question,"['Software patent', 'United States patent law']"
10069,6,answer,"['Yahoo', 'Google']"
10069,7,question,['Algorithm']
10069,7,answer,"['Mathematical finance', 'Business', 'Profit']"
10069,8,question,"['Everton F.C.', 'Liverpool F.C.']"
10069,8,answer,"['Sports analytics', 'Hammarby IF', 'Manchester City F.C.']"
10069,9,question,"['Poker', 'Maria Konnikova']"
10069,9,answer,"['Game theory', 'Bluffing']"
10069,10,question,['Poker']
10069,10,answer,"['Game theory', '""Prisoners dilemma""']"
10069,12,question,"['Hedge fund', 'Mathematical finance', 'Jim Simons']"
10069,12,answer,['Financial modeling']
10069,13,question,"['Sensitivity and specificity', '""Bayes\' theorem""']"
10069,13,answer,"['The Guardian', 'False positives and false negatives', '""Bayes\' theorem""', 'Probability', 'Sensitivity and specificity']"
10069,14,question,"['Royal Institution', 'Hannah Fry', '""Bayes\' theorem""', 'Royal Institution Christmas Lectures']"
10069,14,answer,"['Weapons of Math Destruction', '""Cathy ONeil""', 'Algorithm']"
10069,15,question,"['Thomas Schelling', 'Complexity', 'Fooled by Randomness', 'Nassim Nicholas Taleb', 'Lords of Chaos (book)', 'Critical Mass (book)']"
10069,15,answer,"['Confidence interval', 'Sexism', 'Racism', 'Jordan Peterson', 'Discrimination']"
10069,16,question,"['Algorithm', 'Exponential growth', 'Sensitivity and specificity', '""Bayes\' theorem""', 'Epidemiology']"
10069,16,answer,"['Pure mathematics', 'Applied mathematics']"
10079,1,question,"['Artificial intelligence', 'Historian']"
10079,1,answer,['Richard III of England']
10079,2,question,"['Royal Institution Christmas Lectures', 'BBC iPlayer', 'DNA', 'YouTube']"
10079,2,answer,"['Human remains', 'Forensic DNA analysis']"
10079,3,question,"['DNA', 'Cousin', 'Epigenetics']"
10079,3,answer,"['Richard III of England', 'Behavioural genetics']"
10079,4,question,"['Genetic genealogy', 'Genetic testing', 'Ancestry.com']"
10079,4,answer,"['Living DNA', 'GEDmatch', 'Investigative genetic genealogy', 'FamilyTreeDNA', 'MyHeritage', 'DNA Family Secrets', 'Ancestry.com', '23andMe']"
10079,5,question,"['Ancestry.com', 'Genealogy']"
10079,5,answer,"['Family tree', 'Algorithm']"
10079,6,question,"['Princes in the Tower', 'Richard III of England']"
10079,6,answer,"['Radiocarbon dating', 'Westminster Abbey', 'Isotope analysis', 'Y chromosome', 'Tower of London', 'Whole genome sequencing', 'Richard III of England']"
10079,8,question,"['Archaeology', 'Genetics']"
10079,8,answer,"['Mitochondrial DNA', 'Richard III of England', 'University of Leicester', 'DNA profiling', 'House of Romanov', 'Biological anthropology', 'Alec Jeffreys']"
10079,9,question,['Public engagement']
10079,9,answer,"['Wellcome Trust', 'Genetic genealogy']"
10079,10,question,"['Forensic science', 'CRISPR gene editing']"
10079,10,answer,"['CRISPR', 'Embryo']"
10092,1,question,"['Algorithm', 'Explainable artificial intelligence', 'Old Bailey']"
10092,1,answer,"['Machine learning', 'Explainable artificial intelligence', 'Algorithmic transparency']"
10092,2,question,"['Algorithm', 'Risk assessment']"
10092,2,answer,"['Criminal justice', 'Predictive policing', 'Recidivism']"
10092,3,question,['Fake news']
10092,3,answer,"['Algorithm', 'News', 'Social media']"
10092,4,question,"['Big data', 'Self-driving car', 'Trolley problem']"
10092,4,answer,"['Utilitarianism', 'Trolley problem']"
10092,5,question,"['Algorithm', 'Pre-crime', 'Self-driving car', 'Medicine']"
10092,5,answer,"['Computer vision', 'Voice recognition', 'Artificial intelligence']"
10092,7,question,"['Automation', 'Artificial intelligence']"
10092,7,answer,"['Alibaba Group', 'Factory']"
10092,8,question,['Problem solving']
10092,8,answer,"['Fluid dynamics', 'Doctor of Philosophy', 'Mathematics']"
10092,9,question,"['Pennines', 'Computer vision', 'Fluid dynamics']"
10092,9,answer,"['Algorithm', 'Mammography', 'Cancer']"
10117,1,question,"['Bat', 'Pandemic', 'Habitat destruction']"
10117,1,answer,"['Vaccination', 'Homeostasis', 'Smallpox']"
10117,2,question,"['Coronavirus', 'Influenza']"
10117,2,answer,"['Swine influenza', 'Avian influenza', 'Influenza pandemic', 'Zoonosis']"
10117,3,question,"['COVID-19', 'Avian influenza', 'Mutation', 'Vaccination', 'Swine influenza']"
10117,3,answer,"['Evolutionary pressure', 'Herd immunity', 'Immune system', 'Influenza']"
10117,4,question,"['Influenza vaccine', 'Pandemic']"
10117,4,answer,"['Influenza A virus subtype H5N1', 'COVID-19 vaccine', 'Johnson & Johnson', 'Moderna', 'AstraZeneca', 'Public–private partnership']"
10117,5,question,"['Oxford–AstraZeneca COVID-19 vaccine', 'Pfizer–BioNTech COVID-19 vaccine', 'Novavax COVID-19 vaccine', 'Moderna COVID-19 vaccine', 'Janssen COVID-19 vaccine']"
10117,5,answer,"['Inactivated vaccine', 'MRNA vaccine', 'Subunit vaccine', 'Viral vector vaccine']"
10117,6,question,['Vaccine']
10117,6,answer,['Vaccination']
10117,7,question,['Vaccine']
10117,7,answer,['COVID-19 vaccine']
10117,8,question,"['Influenza', 'Coronavirus', 'Cough']"
10117,8,answer,"['Tuberculosis', 'Immunodeficiency', 'HIV', 'Reflex']"
10117,10,question,['Mask']
10117,10,answer,"['Future', 'Present', 'Investment']"
10117,11,question,"['Avian influenza', 'Swine influenza', 'Coronavirus']"
10117,11,answer,"['COVID-19', 'Asymptomatic']"
10117,12,question,"['Adaptive immune system', 'Asymptomatic', 'SARS-CoV-2']"
10117,12,answer,"['T cell', 'Innate immune system', 'Viral load']"
10117,13,question,['Viral load']
10117,13,answer,['Minimal infective dose']
10117,14,question,"['Virus', 'Goldilocks principle']"
10117,14,answer,"['T cell', 'Asymptomatic']"
10117,15,question,"['Pandemic', 'New Zealand', 'Taiwan', 'Influenza', 'Coronavirus']"
10117,15,answer,"['Australia', 'SARS-CoV-2', 'Influenza', 'SARS', 'Hong Kong', 'Global surveillance']"
10117,16,question,"['Vaccine Equity', 'Mutation', 'Vaccine']"
10117,16,answer,"['Serum Institute of India', 'Johnson & Johnson', 'Cold chain', 'AstraZeneca']"
10117,17,question,"['Oxford–AstraZeneca COVID-19 vaccine', 'Pfizer–BioNTech COVID-19 vaccine', 'COVID-19 vaccine']"
10117,17,answer,"['Moderna COVID-19 vaccine', 'Oxford–AstraZeneca COVID-19 vaccine', 'Adenovirus vaccine', 'COVID-19 vaccine', 'Sputnik V COVID-19 vaccine']"
10117,18,question,['Collaborative writing']
10117,18,answer,"['COVID-19 pandemic', 'Scientific journal']"
10123,1,question,['Hard problem of consciousness']
10123,1,answer,"['Voluntary action', 'Reticular formation', 'Cortex', 'Value (ethics)', 'Cognitive neuroscience']"
10123,2,question,"['Intellect', 'Brain injury', 'Creativity']"
10123,2,answer,"['Insight', 'Central nervous system disease']"
10123,3,question,['Patient']
10123,3,answer,"['Cognition', 'Frontal lobe', 'Mental image', 'Antonio Damasio', 'Insular cortex', 'Prefrontal cortex']"
10123,4,question,"['Brainstem', 'Consciousness']"
10123,4,answer,"['Reticular formation', 'Parabrachial nuclei', 'Localization', 'Insula', 'Cortex', 'Prefrontal cortex']"
10123,5,question,"['Consciousness', 'Data processing', 'Brain']"
10123,5,answer,"['Self-organization', 'Reticular formation', 'Subjectivity and objectivity (philosophy)', 'Homeostasis', 'Markov blanket', 'Free will']"
10123,6,question,"['Quantum field theory', 'Consciousness']"
10123,6,answer,"['Information theory', 'Probabilistic causation', 'Homeostasis', 'Self-organization', 'Information processing']"
10123,7,question,"['Brainstem', 'Cortex', 'Artificial brain', 'Neuron']"
10123,7,answer,"['Hippocampal prosthesis', 'Pyramidal cell', 'Corticospinal tract', 'Homeostasis']"
10261,1,question,['Epigenetics']
10261,1,answer,"['Cortisol', 'Transgenerational trauma', 'The Holocaust']"
10261,2,question,"['Cortisol', 'Child care']"
10261,2,answer,"['Circadian rhythm', 'Cross-sectional study']"
10261,3,question,"['Social-desirability bias', 'Demand characteristics']"
10261,3,answer,['Coping']
10261,5,question,"['Cortisol', 'Hippocampus', '""Alzheimer\'s disease""']"
10261,5,answer,"['Neurogenesis', 'Santiago Ramón y Cajal', 'Neuroplasticity', 'Selective serotonin reuptake inhibitor', 'Amygdala', 'Frontal lobe']"
10261,7,question,['Depression']
10261,7,answer,"['Blood test', 'Psychiatry', 'Cardiology', 'Diagnosis', 'Signs and symptoms', 'Cancer', 'Medical imaging', 'Mental disorder']"
10261,9,question,"['Torture', 'Fear', 'Anxiety', 'Memory', 'Stress']"
10261,9,answer,"['Central Intelligence Agency', 'Executive functions', 'Waterboarding', 'Interrogation']"
10261,10,question,['Cortisol']
10261,10,answer,"['Fight-or-flight response', 'Common cold', 'Influenza']"
10261,11,question,['Cortisol']
10261,11,answer,"['Adrenaline', 'Amygdala']"
10261,12,question,"['Depression', 'Psychological stress']"
10261,12,answer,"['Sleep', 'Aerobic exercise', 'Resilience', 'Social support']"
10261,13,question,"['Amygdala', 'Cancer', 'Psychological stress']"
10261,13,answer,"['Complex post-traumatic stress disorder', 'Amygdala']"
10261,14,question,"['Holocaust survivors', 'The Holocaust']"
10261,14,answer,"['Psychosocial', 'Rachel Yehuda']"
